,zcmb,mb,dmb,errors
275,0.68339,23.773075103759766,0.10728700459003448,0.11600103974342346
276,0.44316,22.700340270996094,0.11137016117572784,0.12325289845466614
277,0.8492,24.325607299804688,0.10523727536201477,0.11217013001441956
278,0.5106,23.19728660583496,0.10942292213439941,0.11999383568763733
279,0.69992,23.82815933227539,0.10708257555961609,0.11561921238899231
280,0.03399,15.694451332092285,0.14234735071659088,0.1717371642589569
281,0.10288,18.821916580200195,0.12670840322971344,0.1484372913837433
282,0.21975,20.797264099121094,0.11887148022651672,0.13565471768379211
283,0.27923,21.303932189941406,0.11687454581260681,0.13235297799110413
284,0.18507,20.36107635498047,0.12059526145458221,0.13848963379859924
285,0.22286,20.82375717163086,0.11876723170280457,0.13548234105110168
286,0.1238,19.31087303161621,0.12477041780948639,0.14527001976966858
287,0.2637,21.171646118164062,0.11739592254161835,0.13321509957313538
288,0.268,21.20827293395996,0.11725166440010071,0.1329766809940338
289,0.3218,21.66655731201172,0.11544515192508698,0.12998977303504944
290,0.58421,23.44257926940918,0.10851304233074188,0.11829283833503723
291,0.2088,20.665863037109375,0.11938978731632233,0.13651099801063538
292,0.4208,22.509872436523438,0.11212091147899628,0.12449446320533752
293,0.01663,14.78769588470459,0.1613609939813614,0.18992868065834045
294,0.5283,23.256269454956055,0.10920397937297821,0.11958470940589905
295,0.2856,21.358196258544922,0.11666077375411987,0.13199928402900696
296,0.1777,20.238834381103516,0.12108127772808075,0.13927903771400452
297,0.59091,23.46490478515625,0.10842989385128021,0.11813798546791077
298,0.06888,17.656654357910156,0.13140195608139038,0.15590563416481018
299,0.03434,15.734086036682129,0.14151641726493835,0.17094209790229797
300,0.06119,17.334442138671875,0.13271601498126984,0.1579524576663971
301,0.735,23.945056915283203,0.10664898157119751,0.1148083508014679
302,0.3806,22.167436599731445,0.11347086727619171,0.12672606110572815
303,0.25625,21.108184814453125,0.11764611303806305,0.13362851738929749
304,0.28746,21.374038696289062,0.1165982037782669,0.13189604878425598
305,0.01402,14.78769588470459,0.1613609939813614,0.18992868065834045
306,0.17851,20.252269744873047,0.12102803587913513,0.1391918957233429
307,0.7622,24.035696029663086,0.10631304979324341,0.11418059468269348
308,0.36976,22.075096130371094,0.11383499205112457,0.12732723355293274
309,0.185,20.35991668701172,0.12059976160526276,0.13849690556526184
310,0.1712,20.13102149963379,0.12151020020246506,0.13997462391853333
311,0.05581,17.10901641845703,0.1336354911327362,0.15938451886177063
312,0.3782,22.146991729736328,0.1135513037443161,0.12685874104499817
313,0.15339,19.83561897277832,0.12268515676259995,0.14188101887702942
314,0.2504,21.058349609375,0.11784252524375916,0.13395360112190247
315,0.74526,23.979246139526367,0.10652223229408264,0.1145714819431305
316,0.01038,14.78769588470459,0.1613609939813614,0.18992868065834045
317,0.11628,19.135108947753906,0.12546725571155548,0.14640870690345764
318,0.1696,20.10448455810547,0.12161566317081451,0.14014604687690735
319,0.47091,22.936721801757812,0.11043824255466461,0.12171271443367004
320,0.51539,23.21324920654297,0.10936371982097626,0.11988285183906555
321,0.2102,20.682933807373047,0.11932273209095001,0.13639965653419495
322,0.18388,20.341337203979492,0.1206737607717514,0.13861742615699768
323,0.0718,17.779003143310547,0.1309029757976532,0.1551286280155182
324,0.3185,21.63844871520996,0.1155560165643692,0.130172997713089
325,0.8652,24.378925323486328,0.10503943264484406,0.11179986596107483
326,0.03161,15.424952507019043,0.14799752831459045,0.177144855260849
327,0.02557,14.78769588470459,0.1613609939813614,0.18992868065834045
328,0.03416,15.713702201843262,0.14194390177726746,0.17135116457939148
329,0.14792,19.744892120361328,0.12304581701755524,0.14246633648872375
330,0.0919,18.569917678833008,0.12770706415176392,0.1500702202320099
331,0.04976,16.820697784423828,0.13480979204177856,0.1612185537815094
332,0.2889,21.386306762695312,0.1165497750043869,0.1318162977695465
333,0.3253,21.696372985839844,0.11532741785049438,0.12979534268379211
334,0.2335,20.914390563964844,0.11841008067131042,0.1348910629749298
335,0.02197,14.78769588470459,0.1613609939813614,0.18992868065834045
336,0.24267,20.992504119873047,0.11810195446014404,0.13438192009925842
